1,,Autism Partnership School ,Eastern,"香港辦事處
香港港島東英皇道633號7樓",Tel: 852 2526 3812,,,,,"Autism Partnership的香港辦事處以及慈善組織AP慈善機構和AP小學的成立目的，是為滿足香港有自閉症兒童的家庭對有效和全面性服務的龐大需求。我們的香港辦事處所採用的「現代行為治療」（Contemporary Behavioral Therapy， 簡稱「CBT」）建基於「應用行為分析治療」(ABA) －這是一套從研究得出的系統化教學策略，並以真實是治療自閉症最有效的方法。
AP慈善機構和AP小學在2007年成立，AP小學是經香港教育局註冊為一所私立小學，服務對象以自閉症兒童為主，由業界翹楚Dr. Ronald Leaf、Dr. John McEachin 及副董事Mr. Toby Mountjoy創辦及主理。","The purpose of setting up Autism Partnership's Hong Kong office, AP Charity and AP Elementary School, is to effectively solve the huge demand of comprehensive services from the families of autistic children in Hong Kong. Our Hong Kong office applied ""modern behavior therapy"" (Contemporary Behavioral Therapy, referred to as ""CBT"") based on ""Applied Behavior Analysis therapy"" (ABA) - This is a study derived from systematic teaching strategies, and is the most effective way to treat autism. 

AP Charity and AP Elementary School were both founded in 2007.

AP Elementary School was authorized by Hong Kong Education Bureau and registered as a private school which serving children with autism. And it was founded by the industry leader, Dr. Ronald Leaf and deputy director Mr. Toby Mountjoy. 
",Autism Partnership School ,"7/F, 633 King’s Road,
Island East, Hong Kong","AP Hong Kong and the charitable AP Foundation and AP School were founded to meet the tremendous need for effective comprehensive services for families with children with autism in Hong Kong. Our Hong Kong office specializes in Contemporary Behavioral Therapy (CBT) that is based on the techniques of Applied Behavior Analysis (ABA) to help children with autism acquire new skills, curb unwanted behaviors, and achieve a better quality of life.
AP Foundation and AP School were founded in 2007 by Associate Director Mr. Toby Mountjoy. AP School is the only registered charitable private primary school in Hong Kong for children with autism of different ages and levels of functioning.",www.autismpartnership.com.hk
1,"AP小學
AP慈善機構","AOI PUI SCHOOL
Autism Partnership Foundation
",Kowloon City,,Tel: 852 2526 3061,,,,,,,"AOI PUI SCHOOL
Autism Partnership Foundation","16 Station Lane, Hung Hom, Kowloon. ",,
1,明德兒童啟育中心,Child Development Centre,Central & Western,香港灣仔莊士敦道183-187 號德業大廈4樓,Tel: 852 2849 6138,,,,,,,Child Development Centre,"4th Floor, Prime Mansion, 183-187 Johnston Road, Wanchai, Hong Kong","The Child Development Centre (CDC) works to:

Provide tailored early intervention for all children with developmental or special educational needs delivered by a dedicated team of skilled professionals
Empower and guides parents and service providers
Advocate for the inclusion of all children into the community through public awareness and education",http://cdchk.org
1,英基國際幼稚園(雅柏),ESF Abacus International Kindergarten,,新界西貢清水灣道孟公屋村,Tel: 852 2719 5712,,,,"AM: 8:30-11:30am
PM: 12:30-3:30pm","教學類別

英基根據一至六級調節級別機制 (點擊此處可參閱調節級別機制 - 只提供英文版本) 確定學生的特殊需要，為其提供三種主要選擇。第一種在幼稚園主流班別及中小學實施 (第一級及第二級)；第二種在部分中小學開設的學習支援中心實施 (第三級及第四級)；第三種在賽馬會善樂學校實施 (第五級及第六級)。該三項選擇詳情如下。

主流班別提供支援

很多有特殊教育需要而只需要微調教與學的學生可就讀任何幼稚園和學校的主流班別。只要獲得微調和少許支援，這些學生便能夠在這種學習環境下升讀正規課程。他們的問題是難以專注、語言及／或讀寫能力發展遲緩或自我管制有困難。專責老師或教學助理會利用少量時間為這個級別的學生提供支援。家長必需經由正規入學程序申請特殊教學。如果您的子女屬於這個類別，請與貴區的英基幼稚園或學校聯絡，與職員商討子女的入學事宜。","Types of provision

ESF offers three broad options for students with special educational needs, based upon identification of need using the ESF Levels of Adjustment 1 to 6. Firstly, within mainstream classes in kindergartens, primary schools and secondary schools (Level 1 & 2), secondly with learning support centres in primary and some secondary schools (Levels 3 & 4) and thirdly within the Jockey Club Sarah Roe School (Levels 5 & 6). Further details of each of these options are outlined below.

Mainstream class with possible support
Many students whose special education needs require minimal teaching and learning adjustments are catered for within mainstream classes in all kindergartens and schools. These students are able to access the normal curriculum in these settings with minimal adjustment or support. In these settings students may be supported for limited amounts of time by specialist teachers or by educational assistants. Entry to this type of special education provision is through the normal school admissions process. If your child falls into this category you should approach the ESF kindergarten or school in your district and discuss your child’s enrolment with staff.
",ESF Abacus International Kindergarten,"1A Mang Kung Uk Road, Clearwater Bay, New Territories",Many students whose special educational needs require minimal teaching and learning adjustments are catered for within mainstream classes in all kindergartens and schools. These students are able to access the normal curriculum in these settings with minimal adjustment or support. In these settings students may be supported for limited amounts of time by specialist teachers or by educational assistants. Entry to this type of special education provision is through the normal school admissions process. If your child falls into this category you should approach the ESF kindergarten or school in your district and discuss your child's enrolment with staff.,http://www.esf.edu.hk/overview-sen
1,英基國際幼稚園(曉新),"ESF International School, Hillside",,香港司徒拔道43B號,Tel: 852 2540 0066 ,,,,"AM: 8:45-11:45am
PM: 12:30-3:30pm",,,"ESF International School, Hillside","43B Stubbs Road, Hong Kong ",,http://www.esf.edu.hk/overview-sen
1,英基國際幼稚園(青衣)," ESF International School, Tsing Yi",,,Tel: 852 2436 3105,,,,"AM: 8:30-11:30am
PM: 12:30-3:30pm",,,"ESF International School, Tsing Yi","Maritime Square 33 Tsing King Road, Tsing Yi, New Territories, Kwai Tsing",,http://www.esf.edu.hk/overview-sen
1,英基國際幼稚園(烏溪沙),"ESF International School, Wu Kai Sha",,,Tel: 852 2435 5291,,,,"AM: 8:30-11:30am
PM: 12:30-3:30pm",,,"ESF International School, Wu Kai Sha","Level 1, Lake Silver Tower 599 Sai Sha Road, Ma On Shan, Sha Tin, Hong Kong",,http://www.esf.edu.hk/overview-sen
1,英基畢架山小學,Beacon Hill School,Kowlon Tong,,Tel: 852 2336 5221,,,,"Mondays to Fridays
7:30 am to 4:30 pm",,,Beacon Hill School ,"23 Ede Road, Kowloon Tong Hong Kong",,http://www.beaconhill.edu.hk
1,英基白普理小學,Bradbury School,Central & Western,,Tel: 852 2574 8249,,,,"Mondays to Fridays
7:30 am to 4:30 pm",,,Bradbury School ,"43C Stubbs Road, Hong Kong",,http://www.bradbury.edu.hk
1,英基清水灣小學 ,Clearwater Bay School,Sai Kung,,Tel: 8522358 3221,,,,"Mondays to Fridays
7:30 am to 4:30 pm",,,Clearwater Bay School ,"Lot 235, DD229 Clearwater Bay Road Kowloon, Hong Kong",,http://www.cwbs.edu.hk
